,data,type
1736,i don t feel so fearless,joy
1737,i feel like i can and have accepted that but will others,love
1738,i actually feel pretty good,joy
1739,i left the office feeling so relieved,joy
1740,i feel a little guilty that i am not doing the same and as i contemplate going back to get some money the prisoners begin to enter the room,sadness
1741,i hope to see or feel a mad glint in your eye because some madness some pathological curiosity is needed,anger
1742,i had a go at it it said i was feeling paranoid lol,fear
1743,i had a very provocative dream the kind that makes you feel slightly shaken as you wake up from it,fear
1744,i feel so hopeless and unloved and unwanted,sadness
1745,i feel beaten up worked over,sadness
1746,i just feel like its rude,anger
1747,i feel nay am gorgeous on the right track getting good grades making people happy mildly talented a good cook have a very good ear for musical notes love anime have people who care about me idiots and have a life i can do something with,joy
1748,i devote this blog to her and pray with her for peace in the world especially when we feel frightened by religious violence,fear
1749,i do something and i feel completely stupid when someone points out the very obvious solution,sadness
1750,i am feeling sorry for myself because someone made fun of my outfit,sadness
1751,i dont like poetry too much because i feel its for whiney dramatic people,sadness
1752,i didn t wish to be the president i hardly know these people and i got the feeling that they hated me for being quiet and not smiling,anger
1753,i am definitely feeling the festive vibe and i have been busy with christmas y things mince pies are very much a british xmas goodie that i had never heard of before i met my husband well maybe in a song but other than that,joy
1754,i kept trying to make her feel better,joy
1755,i was going through my years worth of photos and i feel so pleased that i have come this far,joy
1756,i feel so unimportant insignificant like im slipping through the gaps between his fingers and he doesnt care,sadness
1757,i call someone i feel like i need to at least talk a few minutes to not be rude,anger
1758,i answered feeling rather skeptical,fear
1759,im feeling groggy and having a bad skin day,sadness
1760,im not saying they cant accept me the way i am its just they treat me differently i feel accepted and loved,joy
1761,i wish i could feel more assured of myself my decisions my thoughts my perception hellip but it seems that every now and then someone comes along and shoots one or more of those down,joy
1762,i will explain here the areas i feel are vital to a successful experience and then i will pinpoint how i plan to assess those areas,joy
1763,i feel popular special and important,joy
1764,i cant help feeling this way,sadness
1765,i think came from the weird catholic way we d been raised to feel ashamed about sex,sadness
1766,i feel and i am keen to come to china and experience life in a new country,joy
1767,this happened when i could not get into the school i had initially wanted,anger
1768,i feel a bit discouraged,sadness
1769,i look at your kids i feel jealous sure,anger
1770,i think of how many years i spent feeling furious at my dramatic perspective of the world and my extremely sensitive nature,anger
1771,i feel lonely at work im not a social bird as i usually am when i was in school,sadness
1772,i feel like i m a doomed gladiator in a stadium constructed of cardboard and copies of romeo and juliet and the outsiders are screaming for my blood,sadness
1773,i feel like it has some necessity in a romantic relationship but too much can be very harmful in that context but that s not my problem,love
1774,i feel as if this opportunity to return to moz is gods gracious gracious way of giving me that heat desire despite my own self doubt and uncertainty in the past,joy
1775,i got home i started to feel weird,fear
1776,i feel so respected now,joy
1777,im also feeling brave enough to publish my thoughts about them again too,joy
1778,i feel defeated and low,sadness
1779,i feel completely emotionally exhausted and am pretty much to the point i will have to cut all ties with every man i know,sadness
1780,i appreciate when he shows how he feels because i know that he is not naturally an affectionate person,love
1781,i feel so rude saying i ll get back to you cause shes so nice and needs me but i d prefer to work in a href http www,anger
1782,im feeling brave the girls and i venture out for a walk with the intent of maybe making it around the block,joy
1783,i look back on that moment of my writing life and feel a bit ashamed that there is a part of me that wants to wrap up the everything theory series and then pack up the story ideas and call it a day,sadness
1784,i remember feeling disheartened one day when we were studying a poem really dissecting it verse by verse stanza by stanza,sadness
1785,i feel some sort of disdain that im ashamed to even verbalize and yet i cant bring myself to deny or convince myself otherwise,sadness
1786,i feel sort of pathetic saying that my iphone internet and tv are my must haves but lets be honest they are,sadness
1787,i feel when i have to sit alone,sadness
1788,i feel dirty and cheap just talking about going this far,sadness
1789,i feel bad calling it mere book or story is six individual stories nestled together,sadness
1790,i miss feeling like i hated you,anger
1791,i have a feeling my view isnt going to be very popular and thats fine,joy
1792,i feel that if i met the author that we would get along because the writing seemed more friendly than formal,joy
1793,i believe if you have happy and healthy relationships you are likely to feel much more energized and inspired which will be reflected in your overall health and appearance,joy
1794,i do feel sad for myself for not wanting that and thoughts extend up to a point that ill die alone,sadness
1795,i feel for the people who dont see its worth or are too afraid to discover it,fear
1796,i am feeling pretty excited about this,joy
1797,i feel ashamed that my two bags look like theyve erupted exploded natural disastered all over my hosts spotless stylish living room,sadness
1798,i began to feel sympathetic for khezef but i wasn t sure if i was right about him,love
1799,i come home i am usually feel drained and exhausted,sadness
1800,i feel that as this greedy obsession continues sustainabilitys growth will be hindered,anger
1801,i do a hobble to the bike rack with one bike shoe on and barefoot on the other side feeling a bit foolish but not too worried,sadness
1802,i don t want to feel frustrated about this anymore,anger
1803,i resorted to yesterday the post peak day of illness when i was still housebound but feeling agitated and peckish for brew a href http pics,anger
1804,i just feel a weird vibe,surprise
1805,im supposed to feel sympathetic to a child killer,love
1806,i feel like i was there to feed them food touch love caring and compassion,love
1807,i execute the trick and work my dishwasher magic i feel so clever,joy
1808,i vow to be gasp nicer to everyone not just a select few marybeth and isabella lol i will say what i feel and not cover up something sweet with something shitty,love
1809,i have trouble not focusing on it not feeling it all throughout the day because i know he s suffering and i know my mom is suffering in a whole other way,sadness
1810,i feel fantastic physically,joy
1811,i currently feel like crap but have to at least show my face at work lest they get suspicious at my ringing in sick the day after my holidays,fear
1812,i know what that feels like and i hate it so i try to be considerate and listen to them,joy
1813,i am feeling so incredibly blessed for the life i have been given and the people that god has put in it,joy
1814,i feel frustrated lonely or am having a hard time i think of elf and regain my strength lets spend together you guys and the other member for sure,anger
1815,i feel like i still have some valuable information from that perspective,joy
1816,i feel very unwelcome and unwanted everywhere,sadness
1817,i havent been able to squeeze in a run for two weeks so i am feeling really cranky lethargic,anger
1818,i can feel it clever of them and,joy
1819,i think he was feeling fond of and possessive of harry and then when harry grabbed a bit into the grabbing and then angry with himself and frustrated,love
1820,i wanted to feel assured,joy
1821,i feel really dirty now but it felt really nice,sadness
1822,i now feel more intelligent about my followers myself and how i use a href http twitter,joy
1823,i feel particularly uncomfortable with how much a driver is looking down on the phone i shout eyes on the prize,fear
1824,i know i shouldn t feel offended but i do,anger
1825,i feel like a super hero of sorts,joy
1826,i wasn t feeling hot i knew that i needed to cool my body temperature and drink more fluids,love
1827,i feel like a strange antisocial creature difficult for the cooperation,surprise
1828,i feel god calling me there and if he wills it i ll be a priest for him and the rest of the faithful,love
1829,i try explaining my feelings and someone dismisses them blindly i feel frustrated and disinterested in discussing my opinions because they cannot put themselves in my place and know what i have experienced by living there,anger
1830,i feel and oh how my heart broke,sadness
1831,i just feel kind of heartless now,anger
1832,i also suspect that like me those who feel like they want to die will be reluctant to share that information with anyone because it is so freaking scary,fear
1833,i want to give the feeling of being valued,joy
1834,i just do it to keep up with ian but really i feel shitty about it and wish i could just date ian,sadness
1835,i feel the other person is unimportant but it is my interpretation see the trend that i have been misunderstood and that instead of wasting time hence the impatience part having them explain what i feel is already a misunderstanding i try to reexplain my intent,sadness
1836,i am a very goal oriented person and i never feel more satisfied than when i am in hot pursuit of a goal,joy
1837,i feel slightly charmed and wishful,joy
1838,i do feel weird making an exact replica of someone else work,fear
1839,i feel stressed but i love the feeling of the calming spirit of my heavenly father and the feeling to keep working,sadness
1840,ive been soo excited for him to feel and it was amazing,joy
1841,i now agreed with you i will only let us be the past i am happy that you were once part of my life i do feel honoured,joy
1842,i feel fine about that,joy
1843,i can t look at for too long without feeling depressed,sadness
1844,i respect his privacy so i wont divulge details of our chat but it got me thinking about the notion of home coz i was feeling a little homesick in the morning and here i was with a total stranger a few thousand miles from singapore but i actually felt at home,sadness
1845,i feel isolated even when i m around other people,sadness
1846,i have written but you feel the need to point out that someone somewhere could be offended if they were to read my words out of context knowing nothing about me and after having a really bad day do not bother to inform me of this,anger
1847,i have a good feeling about this so i am excited,joy
1848,i feel like the helpless duckie target for the commies and feds while at other times i want to run and hide,fear
1849,i feel stupid and thoughtless,sadness
1850,i am in no way complaining or whining or feeling ungrateful,sadness
1851,i was feeling amazed because i didnt find myself that good as what they have commented,surprise
1852,i ignored her minor tantrum and jumped down from the table beginning to pace again and feeling agitated,fear
1853,i feel like this sums up the vanity of humans funny pictures funny quotes funny memes funny pics fails autocorrect fails,surprise
1854,i found myself giggling and clapping my hands more often than a five year old at the ice cream wagon and there was never a point where i didnt feel genuinely entertained,joy
1855,i feel petty even though the thoughts arent real fleshed out thoughts just these fluttering i should feel like this kind of thoughts,anger
1856,i feel like this never get impatient around sharp objects as it will inevitably lead to tears,anger
1857,i definitely feel he should get a title supporting and the picture for once,joy
1858,i guess i feel dissatisfied lately because i have deleted my myspace made a facebook and then deleted that all within hours,anger
1859,i feel more irritated than peaceful,anger
1860,i feel embarrassed that it got so bad,sadness
1861,i feel bitter and just honkerblonked off in general,anger
1862,i have tryed different ways for people to notice me but i feel fake doing them because none of it is myself,sadness
1863,i feel that it is something that will never really be resolved,joy
1864,i learnt so much about the wonderful world of beaubronz and feel this lovely tanning brand fits perfectly with my latest mantra stolen from my boudoir lashes mother asma docrat,love
1865,i feel paranoid that every time i log onto facebook or attend church that im about to find out yet another friend is pregnant,fear
1866,im pretty happy but a little on the nauseated side to feel thrilled,joy
1867,i already feel the atmosphere around it seems dangerous,anger
1868,ive had a few moments the past couple of days were i feel so restless like i need to be moving around constantly,fear
1869,i see her face i just think about the amazing journey that shes been on here with us and i feel so privileged to have been a part of it,joy
1870,i am so happy but yet i feel enraged,anger
1871,i feel excuse the messy thoughts i cant wait to make new friends im afraid to leave,sadness
1872,i have better things to do than to feel humiliated,sadness
1873,i cant tell you the last time i have woken up feeling like i slept well,joy
1874,im pretty sure it had to do with the fact that im dealing with hyperemesis not enough sleep and feeling irritable,anger
1875,i feel it is equally important that you know i do have a passionate side that gets lit up every now and then and you are bound to see it,joy
1876,i tend to keep my mouth shut because im not well enough informed but when it comes to public education i can speak what i feel because thats one topic im passionate about and do my best to keep up with,joy
1877,i feel that i annoy everyone much too much when im obnoxious and yeah,anger
1878,i often feel that everything around me is so vain and purposeless,sadness
1879,i must ask if my column makes you feel so hateful why do you keep logging on,anger
1880,i found it hard to feel for any of the supporting cast who eventually became late night snacks for the vampires,love
1881,i feel a dull aching a sharp pain in my chest an overwhelming emptiness,sadness
1882,i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness
1883,i admit i walked into third wave cafe feeling a little apprehensive but what appeared to be a run of the mill cafe turned out to be a restaurant with great personality and even greater food,fear
1884,i want something that is personalized where they can appreciate and at least feel that i am for real sincere in giving them,joy
1885,i think i still will be when they arrive and that makes me stress and makes me feel so unhappy,sadness
1886,i feel slightly offended,anger
1887,i am who god has chosen to help my daughter become the woman god intended her to be even if i don t feel perfect,joy
1888,i feel less weird about my premature graying that started,surprise
1889,i feel shitty about myself or my work on the heels of feeling great for someone else s accomplishments,sadness
1890,i feel very naughty to step outside my species but you are compellingly different,love
1891,i truly feel that we are family and for that i am so thankful,joy
1892,i will tell ya i have been following a very norma inspired diet for a week tomorrow and i feel amazing,surprise
1893,i still dont know what to make of it all but somehow i feel even more assured that what i teach works,joy
1894,i feel like the most hated person on the planet for turning brendon down,anger
1895,i feel like im just not passionate about anything anymore,joy
1896,i alba i feel good and im fitting in,joy
1897,im feeling a little less disheartened about it,sadness
1898,i feel very honored to be on the shortlist and congratulate wish all nominees the very best for tonights awards thank you age scotland for the kindness div class intro style background color fff color font family trebuchet ms helvetica bitstream vera sans sans serif font size,joy
1899,im feeling a little stressed about it,sadness
1900,i also miss the old curious child within me i just feel that the curious child inside me is dying slowly upon the shock of knowing that the world is not as beautiful as we thought it was,surprise
1901,i am less sensitive and my feelings are less easily hurt,sadness
1902,im feeling stressed and tired and after that flight i really dont want to get on another one,sadness
1903,i feel absolutely foolish for allowing myself to actually believe that this might be it for us the month weve been praying so hard for,sadness
1904,i plodded through this taking far too long but feeling rather virtuous,joy
1905,i have an ed i will tell you that i know i shouldn t feel shamed of eating a protein bar for breakfast and the fact that i ate one isn t what makes me shameful it s the fact i didn t make it is what made me hang my head and tuck tail,sadness
1906,i even feel like im learning something while being entertained theres even a bibliography in the back d anyway im not even done with this first one yet and ive already ordered the other two,joy
1907,i refuse to feel guilty,sadness
1908,i feel so dumb about it,sadness
1909,im not making some sort of music i feel useless,sadness
1910,i suppose we had these moments of feeling vulnerable together and we laughed a lot and i felt very alive,fear
1911,i received a lousy results slip ive decided to retain i had the worst first few months in school i made friends in class friends who made my life easier in school who made me feel more accepted in the class,love
1912,i feel ashamed and so i tried my very best to help them,sadness
1913,i feel kind of dumb for saying this but i was just upset at how much strength i lost during the last few months,sadness
1914,i feel so ecstatic that i survived my comprehensive exams because i was never sure if i would survive not just pass but survive,joy
1915,i recently lost lbs of the i gained over the past year and i feel fab,joy
1916,i feel so amazingly overwhelming thrilled for my wedding,joy
1917,i feel a little uncertain about the structure of a revalidation portfolio,fear
1918,i woke up and felt sad all over again but that was quickly replaced with a feeling that reassured me things will work themselves out on their own time,joy
1919,i began to feel if i keep on supporting this system i became a part of the blood sucking everything for profit machinery,joy
1920,i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,sadness
1921,im feeling pretty morose for reasons that i dont need to go into beyond having been plagued by this same,sadness
1922,i did something to my back after moving my piano this week im not hercules just terribly stupid so i was feeling a bit miserable for myself this morning and then this turned up in the post,sadness
1923,i feel so determined this time and i say this time because i have tried every diet under the sun,joy
1924,i feel vital full of energy every day and super positive,joy
1925,i feel like a fake a fraud a hypocrite,sadness
1926,i feel guilty not doing everything i use to i feel worried that i am a bad officer,sadness
1927,i have found myself fighting back as he wakes me from my sleep time and time again feeling the hurt and sting of my own abandonment to my first love,sadness
1928,i can t believe i feel so petrified,fear
1929,im feeling pretty hopeful this morning that we are going to get this right,joy
1930,i feel all funny just thinking about it,surprise
1931,im sitting outside mildly determined to just write what i feel its gorgeous outside even if the bugs are buzzing around,joy
1932,i make a mistake i cringe feel idiotic and become filled with self loathing,sadness
1933,i thought we were going to talk and try and work at things so i was shocked to find out steve had decided he wanted to be on his own the thing that broke me was the feeling of been unloved,sadness
1934,i was wide awake and miserable at am still feeling like crap when i got a very pleasant surprise,joy
1935,i feel so discouraged and lose my sense of inspiration to keep going especially when i see people who do not give their best for the good of pb,sadness
1936,i left feel serence and impressed by the man he is,surprise
1937,i feel privileged to have the earthly father that i have but a far greater privilege is gods willingness to be my father,joy
1938,i have a feeling they might be pleasantly surprised,surprise
1939,i didn t even feel cranky about it,anger
1940,i feel so vulnerable i need to have a mask on to go into the world or if my desire is caused by a need to divert attention or cover up weakness i should probably be making more constructive use of my time than trying to look pretty,fear
1941,i wish i could take my feelings and sort them as i would a messy file,sadness
1942,i along happy peaceful feeling fantastic,joy
1943,i can feel them cool but seldom empty pale with,joy
1944,i sure did appreciate her asking instead of just feeling mad or hurt because she thought i was,anger
1945,i assure you marilla that i feel like praying tonight and im going to think out a special brand new prayer a href http www,joy
1946,i tell my a little how much i hate feeling needy how i hate that moment when i know ive become too attached in my own head,sadness
1947,i feel sad because levi certainly wont want to run a race against his typical peers because theres no way hell win,sadness
1948,i am feeling somewhat melancholy over that,sadness
1949,i would be the one screaming and yelling but now that ive handed bill paying responsibilities to my family i feel at peace with the idiotic long distance calls that seem to accrue every month,sadness
1950,i want you on the trip that i feel is cool,joy
1951,i use a small p size amount or p if im feeling generous and massage the milk into my skin in little sections and if i feel an area needs more then i can apply more,love
1952,i feel like i almost convinced myself this is going to be the pattern,joy
1953,when a boy tried to fool me so he would be ok trying to show me that he is a gook boy,anger
1954,i feel insulted by this that he doesnt even respect me enough to let me know hes not coming not until i indicated i was going to bed,anger
1955,i must find a way to accept these limitations until they are older without feeling held back or resentful,anger
1956,i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,love
1957,im feeling shy im feeling mad im feeling sad,fear
1958,i feel like i am being deprived of oxygen,sadness
1959,i feel embarrassed but i don t want others to take pity on me i have too much pride,sadness
1960,i know how you feel i m sorry you feel like that,sadness
1961,im feeling enraged at another persons actions i have to consider what i was thinking about in the moments prior to the incident,anger
1962,i will remember you as someone who i could feel so comfortable around,joy
1963,i do not feel assured,joy
1964,i feel very hostile at the thought of taking out my credit card,anger
1965,i feel safe with berry,joy
1966,i feel pretty pathetic most of the time,sadness
1967,i feel completely agitated,anger
1968,i did not feel as hopeful yesterday our small number my childrens misbehavior during the service and the difficult hurried pace of the day before and after left me frayed and vulnerable,joy
1969,im so afraid that im bipolar because that feels too much like being like that kids i hated in th grade the kids who nearly drove me to suicide for the first time in my life,sadness
1970,i get the feeling that people have died it s bothered me so much that in the past i ve cried my hair must look perfect whatever the weather all of this anxiety brings me to the end of my tether,anger
1971,i hope he makes some friends and feels welcomed,joy
1972,i feel hated betrayed paranoid childish and hurt,sadness
1973,i was feeling awful friends before i left for my dads,sadness
1974,i always feel so flattered when another amazing blogger asks me to share a little of world on their blog so here it goes,surprise
1975,i feel rich in it,joy
1976,i feel especially passionate about,love
1977,i recently learned that there is a very slight difference between empathetic and sympathetic in definition empathetic being able to actually feel the emotion and sympathetic being the ability to understand the emotion and i realized that there is also a fine line between the two in writing,love
1978,i hear you loud and clear that this is an important issue for you but in the grand scheme of things i cant help but feel that this is so petty,anger
1979,i feel lighter ive got more energy and im loving the rhythm of our days,love
1980,i am especially interested in hearing your thoughts or perspective on what you read about how men and women feel respected or lived,joy
1981,i feel super glued to my bed,joy
1982,ive lived too long feeling shitty being picked on and feeling like the odd one out,sadness
1983,i feel that the team at target has given me valuable experience and feedback which i will use constructively to help me both within my studies and in the future,joy
1984,i was sipping my diet coke watching my the swimming lessons and feeling aggravated that my mousekins were not being better listeners the thought crossed my mind,anger
1985,when i was ten i got shut in the school with a friend i had to jump out of a window and cross a beam metres high,fear
1986,i alsways feel so carefree,joy
1987,i feel like im not pretty enough like my personality is too boring and obnoxious,sadness
1988,i just want u to know how u make me feel unimportant ignored jealous and more middle school level adjectives,sadness
1989,i started feeling a bit homesick with the mention of mulligans name,sadness
1990,i feel kind of talented right now lol hmmm,joy
1991,i take a long sip and feel the cold sensation of the iced capp,anger
1992,i now feel less doubtful towards that person about his her sincerity in rebuilding our relationship,fear
1993,ive gotten so used to them to the extent that im actually feeling weird without them,surprise
1994,i hear that bird i know that all is well and i feel safe,joy
1995,i have a feeling they don t find whiskey to be humorous over there at the health department,joy
1996,i feel so lame complaining that for minutes i get some blurry vision and then have to take it easy the rest of the day,sadness
1997,i get the feeling that if the tabloids either ignored her or somehow painted her as a hero or comedic genius shed be totally happy even if the women in the house were upset,sadness
1998,i feel like people dont really want me in their company but also they dont want to hurt my feelings,sadness
1999,i was admiring and envying the figures of the twentysomething set ahead of me in class and feeling ugly jealous,sadness
2000,i didnt feel much maybe just a sting but i was terrified because i didnt know if it was going to hurt or not if there would be a problem and if he knew what he was doing really who does in this situation,fear
2001,i to feel sympathetic about the children of the world and the bad messages that we send to them when we live in a lawless culture full of innuendo to the contrary,love
2002,i feel completely groggy this morning,sadness
2003,i was feeling a bit pathetic and sorry for myself,sadness
2004,i feel people are scared of me or given up on me,fear
2005,i would not knowingly wound the feelings of any not even one who may have wronged me but would seek to do him good and make him my friend,anger
2006,im feeling a bit jaded,sadness
2007,i feel cool because the plane has four seats instead of only two,joy
2008,i wrote two years ago so many things i feel unsure of maybe,fear
2009,i know when i have had a crappy day and didn t feel productive i feel lousy and sleepy in the evening,joy
2010,i get through it pretty quickly but it just makes me feel like im not being respected,joy
2011,i plan to run miles in the morning which is a distance that generally leaves my bunion feeling extremely tender and painful,love
2012,i want her to feel worthwhile because she is,joy
2013,i anticipated feeling ecstatic jubilant over the moon wired giddy,joy
2014,i am no longer red it feels weird,fear
2015,i feel hopeless i cannot cope,sadness
2016,i feel really petty at the moment because i am extremely angry because im broke at the moment and it sort of pisses me off,anger
2017,i just had this feeling that i liked him more,love
2018,i am right after my make up done i usually don t wear foundation so i feel like i look fake in the pictures,sadness
2019,i feel that the music is kinda boring,sadness
2020,i love sunshine havent had much but the feeling of it on my shoulders as i walk around the yard is amazing,surprise
2021,i hate asking myself why i feel so reluctant when he tries to kiss me,fear
2022,i went home all alone from a restaurant it was dark,fear
2023,i feel rushed again and its the lack of time jerry springer weather amp suddenly you want to put porn on i am very confused but hey let me do that while you enjoy that i had fun fun fun without your hun without a block so hype all about it,anger
2024,im not crying in a corner or feeling so out of control irritable that i cant handle it,anger
2025,im skipping floors one and four because theyre two of the most conventional feeling and quite frankly boring maps in the game for me,sadness
2026,ive been feeling so anxious and nauseous and tired but also so elated that some nights its all i can do to crawl into bed,fear
2027,ive been coughing for the past few days now and my stomach muscles are definitely feeling rather tender the sore throat is a new development as is the runny nose,love
2028,i feel like i m running out of breath and i just can t be cool enough to do anything else,joy
2029,i feel like hopeless helpless worthless scum,sadness
2030,i know how it feels to suffer pain and sorrow and loneliness and to know that mom is suffering because of her illness,sadness
2031,i feel unprotected even while travelling alone,fear
2032,i tried to fill it by befriending people that i knew were only using me but i didnt care because i needed to feel accepted even if it was by some complete loser,love
2033,i am sure its meant as a celebration of the various shades of red out there i feel insulted,anger
2034,i still feel like its a terrific pistol at a fantastic price,joy
2035,i was feeling a little disappointed in how little my hair had improved and the stickiness that was lingering,sadness
2036,i feel im forever alone,sadness
2037,i is feeling particularly hostile shell say no red shirt today nickey,anger
2038,i feel shaky from the battering of emotions but im still standing,fear
2039,i just feel so fucked up by everything that the only place i can confide and spill my emotions is here because there isnt anyone like you,anger
2040,i feel thank you everyone for the amazing thoughts and prayers,joy
2041,i feel ok about this work because it is not so bad and it is not so good,joy
2042,i feel so weird not saying goodnight to mike,surprise
2043,im feeling a little groggy with a mild headache after a non wild and crazy evening,sadness
2044,i returned home defeated and feeling totally unsure of who i was,fear
2045,i go fishing i really feel so carefree can i fish everyday,joy
2046,i really dont like attention because i feel pressured to think about a topic and talk,fear
2047,i set off to drive back to derbyshire on friday afternoon i felt so emotional and suddenly didnt want to leave its a funny feeling being homesick for a place before youre even out of the county borders but it does make going back all the more special,sadness
2048,i feel like i have gotten rejected by him over and over again from the time i have met him,sadness
2049,i feel really dumb and stupid for doing this,sadness
2050,im gradually feeling a little irritated with how pacified all these people can be at present until i wish to just disappear and let them coordinate their own nonsense sometimes,anger
2051,i falter and blurt out something that offends you please understand that i am still learning and i will probably feel as foolish as i just sounded,sadness
2052,i have been feeling shaky this morning after taking them as well,fear
2053,i feel ashamed afraid to let people come over to see my messy house afraid i ll be pulled over and my car towed for my unpaid ticket afraid that blood work will come back with a diagnosis of imminent death,sadness
2054,i feel i ve had years of being told i m intelligent,joy
2055,i didn t feel talented at anything i was doing and eventually wasn t putting fully into it,joy
2056,im not sure if im more at peace with our situation or if im just not feeling as bitter about it but in the past five months something has changed within me,anger
2057,i put my knitting down and covered my ears with my hands trying to minimize the feeling of being assaulted,fear
2058,i feel like im working with half of my voice caleb and i make it through a really wonderful night at the comus inn,joy
2059,when a very close friend with whom i have a very intimate and bodily relationship he had a girlfriend started to avoid me and didnt want to talk to me any more,anger
2060,i kinda get real attached and excited when i feel that way and i never handle things as well as others would,joy
2061,im afraid to call the guy from yesterday because i think hell be angry because i think my boss is angry because i dont communicate with him and i feel like im doing a shitty job and i project my fears onto him,sadness
2062,i feel kinda violent today,anger
2063,i start to feel agitated lacking in patience and just down right cranky,anger
2064,i also loved that you could really feel the desperation in these sequences and i especially liked the emotion between knight and squire as theyve been together in a similar fashion to batman and robin for a long time now,love
2065,i have eternal hope he says and when they arrive on the bridge she finds she likes the feel of the fond smile on her face too much to hide it,love
2066,i was feeling particularly pissed off and wanted to go to a party,anger
2067,i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why,anger
2068,i ask you when folks park why do they feel it is smart to park with only or inches separating your car from the one in front or behind you,joy
2069,i feel like i have doomed myself to failure,sadness
2070,i feel devastated that my art style can be copied,sadness
2071,i just really feel so curious about whether you and dad have ever been bitten,surprise
2072,i feel hopeless and alone and i eat to soothe myself,sadness
2073,i feel that disdain from him when i acted as if id been wronged by him,anger
2074,i woke up feeling rather devastated,sadness
2075,i have a feeling i will be dissatisfied several times,anger
2076,i can smirk at folks who can t use outlook and feel like i m the superior smarter person surrounded by fools,joy
2077,ive been saying things for a number of days that i feel may be too optimistic,joy
2078,i have chose for myself that makes me feel amazing,joy
2079,i feel so uptight and tense,fear
2080,i feel myself being sucked back in and this vicious cycle starts again every time you open the door and every time you show me more you back back any hints of love what is it that youre afraid of,anger
2081,im a huge fan of both london grammar and disclosure so in my eyes this is just a perfect collaboration and it definitely helps to make me feel creative,joy
2082,i could find another reason i m new in the area and i feel less intimidated with a simple tool that i can understand,fear
2083,i love loving people and when i get the opportunity to really show how i feel i m going to do it no matter how stupid it sounds,sadness
2084,i know that you feel pretty disgusted by the nonstop lefty propaganda the ministry churns out but of the public isn t that tuned in,anger
2085,i feel gorgeous is a very fitting word to describe the new album in my humble opinion,joy
2086,i wasnt feeling particularly bitter on my birthday in fact i had a fantastic day,anger
2087,i feel so disturbed and unsettled that i m not sure what to do at this point,sadness
2088,i personally feel that it is a very creative present and everything packed inside a brown paper bag,joy
2089,i feel i should say what i want since you are in fact reading my diary i feel that many of my beloved readers are becoming offended with some of the things i say and post here,joy
2090,i feel like i can trust them though seeing how they can understand how other women can be bitchy and neither of us want to deal with that shit,anger
2091,i feel unwelcome or uncomfortable oh except for that time i pulled the doorknob right out of the cloest door,sadness
2092,i feel heartbroken one middle aged woman told pyongyang s state run media,sadness
2093,i don t want them to feel so pressured,fear
2094,i suppose thats wonderful because it means that they can learn so much so quickly and also make me feel like an idiot much the way i did to my parents when they couldnt figure out how to leave an outgoing message on the answering machine,joy
2095,i normally find intimidating but shes crazy about tiny little foreign food places and people like her so i feel less socially intimidated when im with her,fear
2096,i feel so discontent with this decision,sadness
2097,i begged my husband for it last year as if i thought once having it id lose weight and feel amazing,joy
2098,i am working for but that work requires opportunity certain freedoms of expression and of movement and i may sound paranoid by saying this but i feel those freedoms threatened and more and more each day,fear
2099,i like to notify that i all the time feel my sweet heart beside me but i need to make love with a human i cant live without love the question is that is it a kind of infidelity with my passed sweety or not i feel that my sweet is a href http savingyourmarriagebeforeitstarts,love
2100,i am by no means complete spiritually or intellectually and believe you never should be however i find myself sometimes looking on others with a knowledge and sense of feeling superior in feeling that i am further along my journey than them,joy
2101,i pull out one of my favorite books to make myself feel miserable,sadness
2102,im well chuffed made me feel fab straight away,joy
2103,i feel like im alone in missing him and because of that i feel a bit foolish for missing him as much as i do,sadness
2104,im feeling really out of place and irritated,anger
2105,i even feel surprised if its dark outside,surprise
2106,i am inferior to them then i feel as i did as a child who was not respected not listened to and not allowed to have an opinion,joy
2107,i feel so disheartened at things,sadness
2108,i was left feeling a little disappointed since it all started so well and finished a little limply,sadness
2109,i am restless i feel lethargic and rudderless,sadness
2110,i cant honestly say that i was enjoying the actual running much but i was feeling the benefits and liked being out in the fields and woodland seeing the changes in the seasons and getting lungfuls of fresh air,love
2111,i feel that because of our own love of reading and writing that we are more compassionate and understanding about the struggles that both new and established writers go through,love
2112,i will apply this everyday even if i am wearing no other make up as it makes me feel so much more confident,joy
2113,i feel moderately handsome at the minute but as soon as i go out ill look like a twat,joy
2114,ive never been particularly bothered about my age or the ageing process and while i feel slightly surprised that im nearly i dont really mind,surprise
2115,i was able to feel everything and exactly where my sweet boy was in the birth canal,joy
2116,i desire something i am more likely to feel appreciative of it than if i feel entitled to it,joy
2117,ive been procrastinating about the post birthday entry and now that its well past the fact it feels somewhat unimportant to even mention,sadness
2118,i feel like i have to redeem myself even though i think they realized why i was distraught and were ok with it,fear
2119,i feel this about my movies he says the fact that my name is on them that means they are doomed,sadness
2120,i feel burdened a href http scratcheverything,sadness
2121,i feel like i can t truly get excited for this race because i have no idea whether or not i ll even be able to run it,joy
2122,i feel poles are most useful in pairs all price and stats in this review are for two poles,joy
